Start Station,End Station,Time,Line,Direction
EARLS COURT,GLOUCESTER ROAD,1.37,Piccadilly,Eastbound
GLOUCESTER ROAD,SOUTH KENSINGTON,1.28,Piccadilly,Eastbound
SOUTH KENSINGTON,KNIGHTSBRIDGE,2.48,Piccadilly,Eastbound
KNIGHTSBRIDGE,HYDE PARK CORNER,1.1,Piccadilly,Eastbound
HYDE PARK CORNER,GREEN PARK,1.73,Piccadilly,Eastbound
GREEN PARK,PICCADILLY CIRCUS,1.1,Piccadilly,Eastbound
PICCADILLY CIRCUS,LEICESTER SQUARE,1.17,Piccadilly,Eastbound
LEICESTER SQUARE,COVENT GARDEN,0.77,Piccadilly,Eastbound
COVENT GARDEN,HOLBORN,1.4,Piccadilly,Eastbound
HOLBORN,RUSSELL SQUARE,1.55,Piccadilly,Eastbound
RUSSELL SQUARE,KINGS CROSS,1.9,Piccadilly,Eastbound
KINGS CROSS,RUSSELL SQUARE,1.67,Piccadilly,Westbound
RUSSELL SQUARE,HOLBORN,1.37,Piccadilly,Westbound
HOLBORN,COVENT GARDEN,1.53,Piccadilly,Westbound
COVENT GARDEN,LEICESTER SQUARE,0.77,Piccadilly,Westbound
LEICESTER SQUARE,PICCADILLY CIRCUS,1.07,Piccadilly,Westbound
PICCADILLY CIRCUS,GREEN PARK,1.18,Piccadilly,Westbound
GREEN PARK,HYDE PARK CORNER,1.73,Piccadilly,Westbound
HYDE PARK CORNER,KNIGHTSBRIDGE,1.12,Piccadilly,Westbound
KNIGHTSBRIDGE,SOUTH KENSINGTON,2.23,Piccadilly,Westbound
SOUTH KENSINGTON,GLOUCESTER ROAD,1.37,Piccadilly,Westbound
GLOUCESTER ROAD,EARLS COURT,1.37,Piccadilly,Westbound
EUSTON (CX),WARREN STREET,1.3,Northen,Southbound
WARREN STREET,GOODGE STREET,1.1,Northen,Southbound
GOODGE STREET,TOTTENHAM COURT ROAD,1.2,Northen,Southbound
TOTTENHAM COURT ROAD,LEICESTER SQUARE,1,Northen,Southbound
LEICESTER SQUARE,CHARING CROSS,1.4,Northen,Southbound
CHARING CROSS,EMBANKMENT,0.9,Northen,Southbound
EMBANKMENT,WATERLOO,1.6,Northen,Southbound
WATERLOO,KENNINGTON (CX),2.8,Northen,Southbound
KENNINGTON (CX),WATERLOO,2.8,Northen,Northbound
WATERLOO,EMBANKMENT,1.6,Northen,Northbound
EMBANKMENT,CHARING CROSS,0.9,Northen,Northbound
CHARING CROSS,LEICESTER SQUARE,1.4,Northen,Northbound
LEICESTER SQUARE,TOTTENHAM COURT ROAD,1,Northen,Northbound
TOTTENHAM COURT ROAD,GOODGE STREET,1.2,Northen,Northbound
GOODGE STREET,WARREN STREET,1.1,Northen,Northbound
WARREN STREET,EUSTON (CX),1.3,Northen,Northbound
KINGS CROSS,ANGEL,2.4,Northen,Southbound
ANGEL,OLD STREET,2.1,Northen,Southbound
OLD STREET,MOORGATE,1.5,Northen,Southbound
MOORGATE,BANK,1.3,Northen,Southbound
BANK,LONDON BRIDGE,1.4,Northen,Southbound
LONDON BRIDGE,BOROUGH,1.6,Northen,Southbound
BOROUGH,ELEPHANT & CASTLE,1.9,Northen,Southbound
ELEPHANT & CASTLE,KENNINGTON (CITY),2.1,Northen,Southbound
KENNINGTON (CITY),ELEPHANT & CASTLE,2.1,Northen,Northbound
ELEPHANT & CASTLE,BOROUGH,1.9,Northen,Northbound
BOROUGH,LONDON BRIDGE,1.6,Northen,Northbound
LONDON BRIDGE,BANK,1.4,Northen,Northbound
BANK,MOORGATE,1.3,Northen,Northbound
MOORGATE,OLD STREET,1.5,Northen,Northbound
OLD STREET,ANGEL,2.1,Northen,Northbound
ANGEL,KINGS CROSS,2.4,Northen,Northbound
KINGS CROSS,EUSTON,1.1,Victoria,Southbound
EUSTON,WARREN STREET,1.2,Victoria,Southbound
WARREN STREET,OXFORD CIRCUS,1.9,Victoria,Southbound
OXFORD CIRCUS,GREEN PARK,1.8,Victoria,Southbound
GREEN PARK,VICTORIA,1.5,Victoria,Southbound
VICTORIA,PIMLICO,1.6,Victoria,Southbound
PIMLICO,VAUXHALL,1.5,Victoria,Southbound
VAUXHALL,PIMLICO,1.5,Victoria,Northbound
PIMLICO,VICTORIA,1.6,Victoria,Northbound
VICTORIA,GREEN PARK,1.5,Victoria,Northbound
GREEN PARK,OXFORD CIRCUS,1.8,Victoria,Northbound
OXFORD CIRCUS,WARREN STREET,1.9,Victoria,Northbound
WARREN STREET,EUSTON,1.2,Victoria,Northbound
EUSTON,KINGS CROSS,1.1,Victoria,Northbound
BAKER STREET,BOND STREET,2.1,Jubilee ,Westbound
BOND STREET,GREEN PARK,1.78,Jubilee ,Westbound
GREEN PARK,WESTMINSTER,1.87,Jubilee ,Westbound
WESTMINSTER,WATERLOO,1.38,Jubilee ,Westbound
WATERLOO,SOUTHWARK,1.02,Jubilee ,Westbound
SOUTHWARK,LONDON BRIDGE,1.65,Jubilee ,Westbound
LONDON BRIDGE,SOUTHWARK,1.77,Jubilee ,Westbound
SOUTHWARK,WATERLOO,0.97,Jubilee ,Westbound
WATERLOO,WESTMINSTER,1.43,Jubilee ,Westbound
WESTMINSTER,GREEN PARK,1.82,Jubilee ,Westbound
GREEN PARK,BOND STREET,1.82,Jubilee ,Westbound
BOND STREET,BAKER STREET,2.28,Jubilee ,Westbound
MARYLEBONE,BAKER STREET,1.17,Bakerloo,Southbound
BAKER STREET,REGENTS PARK,1.68,Bakerloo,Southbound
REGENTS PARK,OXFORD CIRCUS,1.85,Bakerloo,Southbound
OXFORD CIRCUS,PICCADILLY CIRCUS,1.95,Bakerloo,Southbound
PICCADILLY CIRCUS,CHARING CROSS,1.35,Bakerloo,Southbound
CHARING CROSS,EMBANKMENT,0.95,Bakerloo,Southbound
EMBANKMENT,WATERLOO,1.43,Bakerloo,Southbound
WATERLOO,LAMBETH NORTH,1.45,Bakerloo,Southbound
LAMBETH NORTH,WATERLOO,1.45,Bakerloo,Northbound
WATERLOO,EMBANKMENT,1.22,Bakerloo,Northbound
EMBANKMENT,CHARING CROSS,0.97,Bakerloo,Northbound
CHARING CROSS,PICCADILLY CIRCUS,1.6,Bakerloo,Northbound
PICCADILLY CIRCUS,OXFORD CIRCUS,2.02,Bakerloo,Northbound
OXFORD CIRCUS,REGENTS PARK,1.72,Bakerloo,Northbound
REGENTS PARK,BAKER STREET,1.65,Bakerloo,Northbound
BAKER STREET,MARYLEBONE,1.08,Bakerloo,Northbound
NOTTING HILL GATE,QUEENSWAY,1.17,Central,Eastbound
QUEENSWAY,LANCASTER GATE,1.35,Central,Eastbound
LANCASTER GATE,MARBLE ARCH,1.92,Central,Eastbound
MARBLE ARCH,BOND STREET,1,Central,Eastbound
BOND STREET,OXFORD CIRCUS,1.1,Central,Eastbound
OXFORD CIRCUS,TOTTENHAM COURT ROAD,0.98,Central,Eastbound
TOTTENHAM COURT ROAD,HOLBORN,1.63,Central,Eastbound
HOLBORN,CHANCERY LANE,0.87,Central,Eastbound
